,,,,,,
Sr no.,Name,Link,Quantity,Price per piece (?),Price (?),
1,3D printing,https://robu.in/,2,N\A,400,
2,SEEED XIAO RP2040,https://robocraze.com/products/seeed-studio-xiao-rp2040-development-board?variant=47742255562976&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=23145906364&adgroupid=182236965810&keyword=&device=c&gad_source=1&gad_campaignid=23145906364&gbraid=0AAAAADgHQvbpVFlAEV7zU6rTHqvdk8s-O&gclid=CjwKCAjw2aPVBhBkEiwA0Cptt6BFVFMwp3dyQTRhXsenpNNbbY264ihwkl6bojYpKoRnr9Ts57-t4hoCHZcQAvD_BwE,1,589,589,
3,Cherry MX Switches,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/?utm_source=google&utm_medium=cpc&utm_campaign=aula-wireless-pmc&utm_id=22030483332&utm_term&utm_content&gad_source=1&gad_campaignid=22030526094&gbraid=0AAAAAC4dMgNA6sWynzZHXNsALesKVW0rS&gclid=CjwKCAjw2aPVBhBkEiwA0Cptt-UFL8ZsayN2XQqVBI-u-XAgBcB8PMMuLOjZ47erfnXW2lGFLpghDBoCkIIQAvD_BwE,1,400,400,
4,Key capes,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank/blank-dsa-keycaps-1u/?utm_source=google&utm_medium=cpc&utm_campaign=aula-wireless-pmc&utm_id=22030483332&utm_term&utm_content&gad_source=1&gad_campaignid=22030526094&gbraid=0AAAAAC4dMgNA6sWynzZHXNsALesKVW0rS&gclid=CjwKCAjw2aPVBhBkEiwA0Cptt3CWGwFBBeKnJkbD2Xb_Ive5-pwkyegI6pyx7N0GWEn20ngjk703VhoCnnAQAvD_BwE,1,100,100,
5,Rotary encoder,https://electronicspices.com/product/5-pin-d-shaft-detents-points-360-degree-rotary-encoder-switch-push-button-potentiometer?srsltid=AfmBOooWKOjMMYUdFD8G3EiMI4U9mdLahEMY-15-EgQ1y_r0zcEh_m9THws,1,100,100,
6,0.91 oled display,https://robocraze.com/products/0-91-inch-blue-oled-display-module?variant=40194383413401&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=23607785032&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=23597632947&gbraid=0AAAAADgHQvb6xyRp8HTh0oz73I2OFuGvM&gclid=CjwKCAjw2aPVBhBkEiwA0Cptt6B8PI53ZYAL7Fkf40RJgZ08XWrR4oiY1kNprckbTPqExuHLPnv25hoCvWoQAvD_BwE,1,150,150,
7,PCB,https://jlcpcb.com/,1,575.55,575.55,
,,,,Total,2314.55,
Note: All the prices are listed in Rupees (indian currency),,,,,,
,,,,,,
,,,,,,
,,,,,,
